Rank,Player,Pos,Team,Reason,GamesMissed,DaysMissed,Cash TotalPer Days Missed
1,Karl-Anthony Towns,C,MIN,"Calf, Injury Management",53,"11211/30-3/21, 3/27-3/27","$21,777,840"
2,Khris Middleton,SF,MIL,"Wrist, Knee, Injury Management",49,"9610/20-12/1, 12/3-12/4, 12/17-1/22, 2/10-2/13, 2/16-2/16, 3/1-3/1, 3/5-3/5, 3/14-3/14, 3/24-3/24, 3/29-3/29, 4/4-4/4, 4/7-4/9","$20,937,024"
3,Lonzo Ball,PG,CHI,Knee,82,17310/19-4/9,"$19,422,537"
4,Andrew Wiggins,SF,GSW,"Foot, Adductor, Illness, Personal",45,"9911/4-11/6, 11/21-11/22, 12/5-12/27, 12/28-1/6, 1/20-1/21, 1/25-1/29, 2/14-4/9","$19,126,800"
5,Kevin Durant,SF,BKN,"Knee, Ankle, Injury Management",33,"7212/10-12/11, 1/12-2/8, 2/9-2/28, 3/8-3/28, 4/7-4/7, 4/9-4/9","$17,780,616"
6,Stephen Curry,PG,GSW,"Elbow, Ankle, Shoulder, Hip, Leg",26,"6211/4-11/6, 11/21-11/22, 12/7-12/9, 12/16-1/9, 1/20-1/21, 2/6-3/4","$17,128,368"
7,Bradley Beal,SG,WAS,"Health Protocols, Quad, Hamstring, Foot, Knee",31,"6311/7-11/15, 11/23-11/24, 12/7-12/17, 12/28-1/2, 1/6-1/17, 2/4-2/7, 3/22-4/9","$15,670,053"
8,Ben Simmons,PG,BKN,"Knee, Calf, Back",40,"7610/31-11/6, 11/13-11/14, 11/30-12/1, 12/2-12/8, 12/10-12/11, 1/15-1/16, 1/28-2/6, 2/24-4/9","$15,483,328"
9,LeBron James,PF,LAL,"Foot, Adductor, Ankle, Illness",27,"5711/7-11/8, 11/11-11/24, 12/7-12/8, 12/19-12/20, 1/4-1/5, 1/9-1/11, 1/30-1/30, 2/9-2/14, 2/28-3/25","$14,569,371"
10,Jonathan Isaac,PF,ORL,"Hamstring, Knee, Injury Management, Adductor",70,"13610/19-12/1, 12/2-1/19, 1/27-1/27, 2/1-2/1, 2/14-2/14, 2/25-2/25, 2/27-2/27, 3/1-3/1, 3/3-4/9","$13,600,000"
11,Brandon Ingram,SF,NOP,"Concussion, Toe, Ankle",37,"7410/25-11/3, 11/28-1/24, 1/29-1/30, 2/5-2/6, 3/11-3/13","$13,460,600"
12,Paul George,SG,LAC,"Illness, Hamstring, Rest, Knee",26,"5410/25-10/26, 11/21-12/4, 12/15-12/15, 12/17-12/20, 1/6-1/16, 1/18-1/19, 1/29-1/30, 3/23-4/9","$13,187,340"
