PLAYER,TEAM,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed,Avg Speed Off,Avg Speed Def
Al Horford,ATL,82,48,34,32.1,11443.5,2.17,1.13,1.04,4.06,4.42,3.73
Al-Farouq Aminu,POR,82,44,38,28.6,10996.3,2.08,1.14,0.95,4.39,4.75,4.02
Corey Brewer,HOU,82,41,41,20.4,7855,1.49,0.76,0.73,4.4,4.67,4.15
Enes Freedom,OKC,82,55,27,21,7964.3,1.51,0.83,0.67,4.32,4.75,3.89
Gorgui Dieng,MIN,82,29,53,27.1,9544.5,1.81,0.95,0.86,4.02,4.19,3.84
James Harden,HOU,82,41,41,38.1,12878.8,2.44,1.27,1.17,3.85,4.14,3.58
Karl-Anthony Towns,MIN,82,29,53,32,11382.6,2.16,1.13,1.03,4.05,4.28,3.83
Langston Galloway,NYK,82,32,50,24.8,9542,1.81,0.98,0.82,4.37,4.66,4.07
Mason Plumlee,POR,82,44,38,25.4,9430.1,1.79,0.96,0.83,4.23,4.51,3.94
P.J. Tucker,PHX,82,23,59,31,11050.3,2.09,1.08,1.01,4.06,4.2,3.93
Ramon Sessions,WAS,82,41,41,20.3,7558.8,1.43,0.75,0.68,4.23,4.64,3.85
Robin Lopez,NYK,82,32,50,27.1,9900,1.88,1.02,0.85,4.17,4.39,3.92
Shabazz Muhammad,MIN,82,29,53,20.5,7826.6,1.48,0.76,0.72,4.35,4.49,4.21
Tristan Thompson,CLE,82,57,25,27.7,10435.1,1.98,1.06,0.91,4.3,4.47,4.1
Will Barton,DEN,82,33,49,28.7,10655.8,2.02,1.1,0.92,4.23,4.63,3.82
Zach LaVine,MIN,82,29,53,28,10741.1,2.03,1.07,0.97,4.37,4.62,4.13
Allen Crabbe,POR,81,43,38,26,9804.6,1.86,1.02,0.83,4.3,4.68,3.91
Andre Drummond,DET,81,43,38,32.9,11377,2.15,1.12,1.03,3.94,4.11,3.77
Andrew Wiggins,MIN,81,29,52,35.1,12517.6,2.37,1.26,1.11,4.06,4.34,3.78
Aron Baynes,DET,81,43,38,15.2,5422.1,1.03,0.55,0.48,4.06,4.24,3.87
Bismack Biyombo,TOR,81,55,26,22.1,7944.5,1.5,0.81,0.69,4.1,4.28,3.9
Doug McDermott,CHI,81,41,40,23,9163.8,1.74,0.92,0.81,4.54,4.89,4.21
Draymond Green,GSW,81,73,8,34.7,11937,2.26,1.17,1.09,3.92,4.41,3.49
Ed Davis,POR,81,43,38,20.8,7649,1.45,0.78,0.66,4.2,4.44,3.95
Frank Kaminsky,CHA,81,47,34,21.1,8306.9,1.57,0.89,0.68,4.49,5.02,3.94
Isaiah Thomas,BOS,81,47,34,32.2,11987.4,2.27,1.23,1.04,4.24,4.85,3.68
Jared Dudley,WAS,81,40,41,25.9,9889.6,1.87,1,0.87,4.35,4.89,3.86
Joe Ingles,UTA,81,40,41,15.3,5627.3,1.07,0.58,0.48,4.18,4.37,3.97
Joe Johnson,MIA,81,31,50,33.4,12213.1,2.31,1.27,1.04,4.17,4.53,3.8
Julius Randle,LAL,81,17,64,28.2,10106.6,1.91,1.06,0.85,4.07,4.32,3.81
Kemba Walker,CHA,81,47,34,35.6,13105.5,2.48,1.39,1.09,4.19,4.65,3.72
Marvin Williams,CHA,81,47,34,28.9,10717.6,2.03,1.12,0.91,4.23,4.63,3.83
Monta Ellis,IND,81,44,37,33.8,12137.2,2.3,1.23,1.07,4.09,4.4,3.79
Patty Mills,SAS,81,66,15,20.5,8588.1,1.63,0.92,0.71,4.77,5.31,4.22
Paul George,IND,81,44,37,34.8,13073.2,2.48,1.33,1.15,4.28,4.62,3.93
Paul Millsap,ATL,81,48,33,32.7,12046,2.28,1.2,1.08,4.2,4.53,3.88
Randy Foye,OKC,81,37,44,20.3,7291.8,1.38,0.74,0.64,4.1,4.42,3.78
Raul Neto,UTA,81,40,41,18.5,7322,1.39,0.77,0.62,4.5,4.74,4.24
Roy Hibbert,LAL,81,17,64,23.2,8320.9,1.58,0.85,0.72,4.09,4.19,3.97
T.J. McConnell,PHI,81,10,71,19.8,8455.9,1.6,0.9,0.7,4.85,5.27,4.42
Trevor Ariza,HOU,81,40,41,35.3,12559,2.38,1.19,1.18,4.05,4.21,3.91
CJ McCollum,POR,80,44,36,34.8,13685.3,2.59,1.47,1.12,4.49,5.03,3.95
D'Angelo Russell,LAL,80,17,63,28.2,10869.6,2.06,1.14,0.91,4.38,4.69,4.05
Dante Cunningham,NOP,80,28,52,24.6,9844.9,1.86,0.98,0.89,4.55,4.93,4.19
Dennis Schröder,ATL,80,47,33,20.3,7918.8,1.5,0.78,0.72,4.46,4.87,4.08
Derrick Williams,NYK,80,32,48,17.9,6415,1.21,0.67,0.55,4.08,4.36,3.78
Evan Turner,BOS,80,46,34,28.1,10052.4,1.9,1,0.9,4.08,4.44,3.75
Garrett Temple,WAS,80,40,40,24.4,9484.8,1.8,0.91,0.88,4.42,4.77,4.11
Giannis Antetokounmpo,MIL,80,32,48,35.3,12879.8,2.44,1.29,1.15,4.15,4.48,3.85
Gordon Hayward,UTA,80,38,42,36.2,13543,2.56,1.46,1.1,4.26,4.64,3.84
Jared Sullinger,BOS,80,46,34,23.8,8105.8,1.54,0.78,0.75,3.89,4.18,3.62
Jeff Green,LAC,80,48,32,28.2,9873.2,1.87,1,0.87,3.99,4.19,3.79
Klay Thompson,GSW,80,71,9,33.3,12703.9,2.41,1.26,1.14,4.34,4.9,3.85
Kyle Korver,ATL,80,46,34,30,11479,2.17,1.15,1.03,4.36,4.75,4
Marcus Morris Sr.,DET,80,42,38,35.7,13022.7,2.47,1.33,1.13,4.15,4.45,3.85
Nikola Jokić,DEN,80,31,49,21.7,7949.7,1.51,0.81,0.7,4.18,4.57,3.8
Raymond Felton,DAL,80,40,40,27.4,9977.2,1.89,1.03,0.86,4.15,4.4,3.88
Russell Westbrook,OKC,80,55,25,34.4,12539.5,2.37,1.27,1.11,4.15,4.63,3.71
Steven Adams,OKC,80,54,26,25.2,9438.7,1.79,0.97,0.82,4.27,4.78,3.79
Trey Lyles,UTA,80,38,42,17.3,6464.2,1.22,0.68,0.55,4.26,4.46,4.02
Wesley Johnson,LAC,80,51,29,20.8,7746.6,1.47,0.76,0.71,4.24,4.42,4.06
Bojan Bogdanović,BKN,79,21,58,26.8,9965.6,1.89,1,0.88,4.24,4.46,4.01
Cory Joseph,TOR,79,53,26,25.4,10020.4,1.9,1.05,0.84,4.47,4.74,4.18
