Rank,Player,Pos,Team,Reason,GamesMissed,DaysMissed,Cash TotalPer Days Missed
1,Gordon Hayward,SF,BOS,Leg,81,17610/18-4/11,"$29,559,904"
2,Mike Conley,PG,MEM,Achilles,70,"15011/1-11/3, 11/15-4/11","$24,178,500"
3,Paul Millsap,PF,DEN,Wrist,44,9911/20-2/26,"$17,489,538"
4,Kawhi Leonard,SF,SAS,"Quad, Rest, Shoulder",69,"15110/18-12/11, 12/20-12/20, 12/23-12/25, 1/7-1/12, 1/15-4/11","$16,096,902"
5,Danilo Gallinari,PF,LAC,"Buttocks, Hand",61,"12211/7-12/5, 12/11-1/29, 2/23-3/29, 4/3-4/11","$14,171,032"
6,Brandon Knight,PG,PHX,Knee,82,17510/18-4/10,"$13,464,850"
7,Stephen Curry,PG,GSW,"Thigh, Hand, Ankle, Knee",31,"6211/13-11/15, 11/27-11/28, 12/6-12/29, 1/10-1/12, 3/9-3/22, 3/25-4/10","$12,148,714"
8,Jeremy Lin,PG,BKN,Knee,80,17510/19-4/11,"$11,864,475"
9,Solomon Hill,SF,NOP,Hamstring,69,15110/18-3/17,"$10,439,083"
10,Jon Leuer,PF,DET,Ankle,74,16011/3-4/11,"$9,489,120"
11,Chandler Parsons,SF,MEM,"Knee, Illness, Personal",34,"7011/29-11/30, 12/4-12/5, 12/30-2/13, 2/23-3/2, 3/7-3/8, 3/24-3/25, 4/4-4/11","$9,140,320"
12,John Wall,PG,WAS,"Shoulder, Knee",38,"8311/5-11/6, 11/19-11/19, 11/25-12/12, 1/27-3/30","$8,470,648"
13,Joakim Noah,C,NYK,"Illness, Personal",37,"8111/22-11/26, 1/25-4/11","$8,129,727"
14,Iman Shumpert,SG,CLE,"Knee, Foot",61,"13510/29-11/6, 11/20-11/26, 11/28-1/22, 2/7-4/11","$7,884,270"
15,Hassan Whiteside,C,MIA,"Knee, Illness, Hip",28,"5810/21-10/31, 11/29-12/25, 2/3-2/4, 3/10-3/28","$7,790,850"
16,Blake Griffin,C,LAC,"Knee, Concussion, Ankle",24,"4611/30-12/28, 1/8-1/10, 3/29-4/11","$7,687,036"
17,Terrence Ross,SF,ORL,Knee,57,12712/1-4/7,"$7,533,894"
18,DeMarcus Cousins,C,NOP,Achilles,34,731/28-4/11,"$7,450,088"
19,Reggie Jackson,PG,DET,Ankle,37,8112/28-3/19,"$7,321,995"
20,Mirza Teletovic,PF,MIL,"Knee, Lung",55,"12211/10-2/1, 2/2-3/11","$7,237,284"
21,Cody Zeller,C,CHA,Knee,48,"10010/20-10/28, 12/8-2/1, 2/28-3/3, 3/10-4/10","$7,109,800"
22,Rudy Gobert,C,UTA,Knee,26,"5711/11-12/3, 12/16-1/18","$7,076,607"
23,Dion Waiters,SG,MIA,"Personal, Ankle",52,"11211/5-11/7, 12/23-4/11","$6,960,464"
24,Chris Paul,PG,HOU,"Knee, Hip, Groin, Hamstring, Rest",24,"4810/18-11/15, 12/22-12/28, 1/30-1/31, 3/22-3/26, 3/30-4/2, 4/11-4/11","$6,581,424"
25,Kevin Love,C,CLE,"Hip, Hand, Concussion",22,"5112/9-12/11, 1/31-3/18, 3/28-3/29","$6,524,073"
26,Markelle Fultz,PG,PHI,Shoulder,67,15210/25-3/25,"$6,033,792"
27,Alan Williams,PF,PHX,Knee,76,"16410/18-3/25, 4/6-4/10","$5,559,272"
28,Tristan Thompson,C,CLE,"Calf, Ankle",28,"5811/3-12/11, 12/14-12/15, 3/5-3/22","$5,373,990"
29,Matthew Dellavedova,PG,MIL,"Knee, Ankle",44,"9711/15-12/18, 2/6-4/10","$5,265,160"
30,Andre Iguodala,SF,GSW,"Back, Knee, Illness, Calf, Wrist",16,"6110/17-10/19, 12/1-12/3, 12/20-12/21, 1/3-1/3, 1/17-2/22, 3/8-3/13, 3/31-4/6, 4/8-4/10","$5,105,700"
31,Andre Roberson,SG,OKC,"Ankle, Knee",42,"9612/11-12/14, 12/31-1/17, 1/27-4/11","$5,021,952"
32,Alexis Ajinca,C,NOP,Knee,82,17610/18-4/11,"$4,933,808"
33,Kyrie Irving,PG,BOS,"Face, Quad, Shoulder, Knee",21,"4611/11-11/13, 12/11-12/12, 1/18-1/20, 1/31-2/5, 3/5-3/7, 3/14-4/11","$4,903,692"
34,Evan Fournier,SG,ORL,"Ankle, Knee",25,"5112/8-12/25, 3/9-4/11","$4,898,295"
35,Nicolas Batum,SF,CHA,"Elbow, Achilles",18,"3810/18-11/14, 11/24-11/24, 12/11-12/12, 3/19-3/25","$4,816,500"
36,Tyson Chandler,C,PHX,"Back, Illness, Personal, Neck, Shoulder",28,"6511/8-11/10, 11/16-11/21, 12/7-12/8, 12/13-12/15, 1/26-1/27, 2/7-2/11, 2/14-3/3, 3/15-3/22, 3/23-4/9","$4,773,990"
37,Patrick Beverley,PG,LAC,Knee,71,"15011/10-11/19, 11/22-4/11","$4,672,500"
38,Tim Hardaway Jr.,SG,NYK,"Leg, Ankle",24,"4712/3-1/11, 1/15-1/16, 4/7-4/11","$4,381,340"
39,Kevin Durant,SF,GSW,"Thigh, Ankle, Calf, Ribs",14,"3011/8-11/10, 11/19-11/21, 11/24-11/28, 1/4-1/9, 3/16-3/28","$4,237,290"
40,Dante Exum,PG,UTA,Shoulder,68,14810/18-3/14,"$4,174,488"
41,Nikola Vucevic,C,ORL,"Hand, Back",24,"6012/26-2/21, 4/6-4/7","$4,152,540"
42,Jabari Parker,PF,MIL,Knee Acl,50,10710/18-2/1,"$4,100,133"
43,Nikola Mirotic,PF,CHI,"Face, Illness, Leg, Hip",26,"5810/19-11/30, 12/4-12/7, 1/8-1/12, 1/31-2/2, 3/24-3/26","$4,096,018"
44,Tony Parker,PG,SAS,"Quad, Rest, Ankle, Back",22,"4610/18-11/26, 12/16-12/17, 1/11-1/12, 2/10-2/11","$4,016,076"
45,Wesley Matthews,SG,DAL,"Back, Hip, Knee",19,"382/11-2/12, 3/4-3/9, 3/11-4/10","$3,839,558"
46,Avery Bradley,PG,DET,"Hip, Groin, Hamstring, Hernia",35,"7412/15-12/17, 12/17-1/2, 1/28-2/2, 2/22-2/22, 2/23-4/11","$3,682,832"
47,Kent Bazemore,SG,ATL,"Shoulder, Knee",15,"382/14-2/22, 3/13-4/10","$3,630,406"
48,Ryan Anderson,PF,HOU,"Illness, Ankle, Hip Flexor",15,"3011/22-11/24, 2/7-2/8, 2/26-3/16, 4/5-4/11","$3,318,390"
49,Isaiah Thomas,PG,CLE,Hip,46,"9210/18-12/29, 3/24-4/11","$3,254,500"
50,Austin Rivers,SG,LAC,"Concussion, Achilles, Elbow",21,"4512/15-12/17, 12/31-2/8, 4/9-4/10","$3,006,360"
51,Seth Curry,SG,DAL,Leg,82,17510/18-4/10,"$2,994,250"
52,Al Horford,C,BOS,"Concussion, Knee, Head, Illness, Ankle",7,"1911/8-11/11, 1/6-1/10, 1/24-1/26, 3/11-3/15, 3/28-3/30","$2,977,148"
53,J.J. Redick,SG,PHI,"Back, Hamstring, Leg",12,"2210/28-10/31, 12/21-12/24, 1/18-1/30, 4/11-4/11","$2,858,768"
54,Jonathan Isaac,PF,ORL,"Illness, Ankle, Foot",55,"12010/29-10/29, 11/13-12/16, 12/22-12/25, 12/28-3/1, 3/22-3/29, 4/3-4/11","$2,838,240"
55,Josh McRoberts,PF,DAL,Knee,41,8310/18-1/8,"$2,823,494"
56,Dennis Schröder,PG,ATL,"Ankle, Back, Elbow, Rest",14,"3210/23-10/26, 12/22-12/22, 2/14-2/22, 3/11-3/12, 3/22-3/22, 3/25-4/9","$2,802,272"
57,Rudy Gay,PF,SAS,Heel,25,"5811/27-11/28, 12/3-12/3, 12/30-2/22","$2,754,536"
58,James Harden,SG,HOU,"Hamstring, Knee, Rest",9,"171/3-1/17, 3/11-3/11, 4/11-4/11","$2,718,028"
59,Damian Lillard,PG,POR,"Knee, Hamstring, Calf, Personal, Ankle",9,"1812/22-12/29, 12/30-1/1, 1/7-1/9, 3/28-3/29, 4/5-4/6","$2,659,626"
60,Joe Johnson,SG,UTA,"Wrist, Illness",23,"4711/1-12/14, 3/6-3/8","$2,650,868"
61,Thabo Sefolosha,SF,UTA,"Knee, Knee Mcl",41,"8911/17-11/17, 1/13-4/11","$2,639,829"
62,Jeff Teague,PG,MIN,"Achilles, Knee",12,"2411/24-11/30, 12/28-1/9, 4/1-4/4","$2,576,280"
63,JaMychal Green,PF,MEM,"Ankle, Knee, Illness",26,"5310/19-11/14, 12/26-12/29, 1/22-1/31, 3/2-3/2, 4/1-4/11","$2,555,183"
64,Eric Gordon,SG,HOU,"Illness, Calf, Back, Knee, Foot, Ankle",13,"3410/28-10/29, 11/22-11/24, 2/1-2/5, 2/7-2/8, 2/14-2/22, 2/23-2/27, 3/30-3/31, 4/5-4/9, 4/11-4/11","$2,486,216"
65,Milos Teodosic,PG,LAC,"Foot, Heel",35,"7310/22-12/10, 1/6-1/10, 2/9-2/11, 3/28-4/11","$2,474,554"
66,Ron Baker,SG,NYK,"Ankle, Shoulder, Face",46,"10010/27-11/23, 11/24-11/24, 1/2-1/2, 1/31-4/11","$2,445,200"
67,Draymond Green,PF,GSW,"Shoulder, Finger, Groin",11,"2612/6-12/7, 12/11-12/21, 1/17-1/19, 2/12-2/13, 3/14-3/15, 3/23-3/28","$2,409,030"
68,Enes Freedom,C,NYK,"Back, Mouth",10,"2011/25-11/28, 2/8-2/10, 3/11-3/12, 3/31-4/11","$2,323,940"
69,Lonzo Ball,PG,LAL,"Shoulder, Knee",29,"6312/25-1/4, 1/15-2/22, 3/30-4/11","$2,237,571"
70,Nerlens Noel,C,DAL,Thumb,42,"9411/27-2/27, 3/27-3/27","$2,223,946"
71,Omer Asik,C,NOP,Illness,18,3710/18-11/23,"$2,214,894"
72,George Hill,PG,SAC,"Personal, Illness, Ankle",10,"1911/4-11/6, 12/10-12/11, 12/19-12/19, 1/6-1/10, 4/1-4/8","$2,146,886"
73,D'Angelo Russell,PG,BKN,Knee,33,"6810/25-10/26, 11/14-1/18","$2,136,968"
74,Darren Collison,PG,IND,"Knee, Personal",13,"3712/10-12/12, 1/24-1/25, 2/5-3/8","$2,090,389"
75,Miles Plumlee,C,ATL,Quad,14,2910/18-11/15,"$2,048,009"
76,Victor Oladipo,SG,IND,"Knee, Illness, Foot",7,"1711/25-11/26, 12/27-1/5, 2/5-2/8, 4/10-4/10","$2,016,948"
77,Meyers Leonard,C,POR,"Ankle, Illness, Back",16,"3510/26-11/16, 12/13-12/16, 12/30-1/5, 1/31-2/1","$1,958,530"
78,Zach LaVine,SG,CHI,Knee,53,"10710/19-11/30, 12/6-1/12, 3/17-4/11","$1,935,844"
79,Kristaps Porzingis,PF,NYK,"Ankle, Knee, Knee Acl",33,"7611/8-11/10, 12/3-12/5, 12/16-12/20, 1/23-1/24, 2/7-4/11","$1,933,744"
80,Klay Thompson,SG,GSW,"Rest, Thumb",9,"191/10-1/11, 3/14-3/30","$1,913,547"
81,Giannis Antetokounmpo,PF,MIL,"Knee, Ankle",6,"1511/22-11/24, 1/20-1/25, 3/23-3/24, 4/7-4/10","$1,904,400"
82,Mason Plumlee,C,DEN,Calf,8,241/30-2/22,"$1,903,872"
83,Anthony Davis,C,NOP,"Knee, Groin, Ankle",7,"1410/26-10/27, 12/2-12/7, 12/11-12/12, 1/10-1/11, 3/9-3/10","$1,880,550"
84,Zach Randolph,PF,SAC,"Mouth, Knee, Illness, Personal",13,"2710/18-10/19, 1/6-1/7, 1/23-1/24, 3/22-4/2, 4/3-4/11","$1,877,445"
85,Harry Giles,C,SAC,Knee,81,17610/18-4/11,"$1,848,880"
86,Greg Monroe,C,MIL,"Chest, Calf",8,"1810/29-11/6, 11/7-11/15","$1,818,738"
87,Mike Muscala,C,ATL,Ankle,29,"6411/5-1/4, 1/17-1/19","$1,807,936"
88,Brook Lopez,C,LAL,Ankle,8,1412/20-1/2,"$1,790,922"
89,Steven Adams,C,OKC,"Calf, Concussion, Hip",6,"1411/10-11/16, 12/16-12/19, 3/13-3/15","$1,777,440"
90,Kenneth Faried,PF,DEN,"Ankle, Personal",7,"241/22-1/28, 2/15-3/3","$1,752,048"
91,Aaron Gordon,PF,ORL,"Ankle, Concussion, Calf, Hip Flexor",24,"5610/20-10/23, 12/9-12/14, 12/17-12/27, 1/30-2/21, 3/9-3/19, 4/6-4/7","$1,741,488"
92,LaMarcus Aldridge,PF,SAS,"Knee, Ankle",4,"142/12-2/22, 3/3-3/4, 3/12-3/12","$1,697,486"
93,Jared Dudley,SF,PHX,"Toe, Knee, Illness, Ankle",15,"3010/18-10/22, 11/11-11/23, 1/2-1/6, 3/30-4/5","$1,694,910"
94,Brandan Wright,PF,MEM,"Groin, Quad, Illness, Knee",33,"6811/20-11/30, 12/2-12/20, 12/27-12/29, 1/17-1/23, 2/26-3/26","$1,680,800"
95,Otto Porter Jr.,SF,WAS,"Illness, Hip, Back, Calf",5,"1211/1-11/2, 12/17-12/21, 1/6-1/9, 4/11-4/11","$1,679,544"
96,Marcus Smart,PG,BOS,"Ankle, Hand, Thumb",28,"6510/20-10/25, 1/24-2/22, 3/14-4/11","$1,666,535"
97,Cameron Payne,PG,CHI,Foot,57,12610/19-2/21,"$1,568,574"
98,Jahlil Okafor,C,PHI,"Illness, Personal, Calf, Ankle",21,"5310/18-10/20, 11/13-11/17, 11/20-12/6, 2/14-3/6, 4/5-4/11","$1,495,713"
99,Maurice Harkless,SF,POR,"Quad, Knee",14,"2612/9-12/12, 3/3-3/8, 3/27-4/11","$1,492,868"
100,Channing Frye,PF,CLE,"Abdominal, Personal, Appendix",17,"341/23-1/25, 2/15-2/15, 2/23-3/25","$1,425,484"
101,Justin Patton,C,MIN,"Toe, Illness",57,"11210/18-1/30, 4/5-4/11","$1,422,176"
102,Allen Crabbe,SG,BKN,"Back, Knee, Illness",7,"1311/26-12/1, 12/15-12/16, 3/16-3/18, 4/3-4/4","$1,419,899"
103,DeAndre Jordan,C,LAC,Ankle,5,111/13-1/23,"$1,407,153"
104,Kris Dunn,PG,CHI,"Finger, Concussion, Toe",29,"6010/19-10/27, 1/20-2/13, 3/17-4/11","$1,371,780"
105,Dewayne Dedmon,C,ATL,"Leg, Ribs",20,"4011/30-1/7, 4/3-4/3","$1,355,920"
106,James Johnson,PF,MIA,"Knee, Ankle",8,"1711/1-11/2, 12/18-12/22, 12/26-1/2, 4/4-4/5","$1,340,212"
107,Michael Kidd-Gilchrist,SF,CHA,"Personal, Arm, Hamstring",8,"1810/18-10/24, 11/3-11/9, 1/22-1/23, 2/28-3/1","$1,322,028"
108,Jerryd Bayless,PG,PHI,Wrist,13,"2611/7-11/19, 1/20-2/1","$1,322,022"
109,Kentavious Caldwell-Pope,SG,LAL,"Personal, Achilles",6,"1312/14-12/17, 12/20-12/21, 12/31-1/2, 1/19-1/22","$1,303,367"
110,Ersan Ilyasova,PF,ATL,"Knee, Illness, Shoulder",13,"3810/23-10/26, 10/29-11/14, 2/4-2/5, 2/14-2/28","$1,288,124"
111,Brandon Ingram,SF,LAL,"Quad, Ankle, Hip Flexor, Concussion",22,"4112/25-12/26, 1/15-1/16, 1/19-1/20, 3/3-3/27, 4/1-4/11","$1,278,503"
112,DeMarre Carroll,SF,BKN,"Ankle, Illness, Knee, Hip",7,"1510/29-10/30, 11/27-11/28, 1/8-1/11, 4/5-4/11","$1,254,240"
113,Goran Dragic,PG,MIA,"Elbow, Quad, Knee, Ankle",7,"1312/18-12/22, 1/20-1/21, 1/22-1/24, 4/4-4/5, 4/11-4/11","$1,248,624"
114,Marcus Morris Sr.,SF,BOS,"Knee, Hip, Ankle",24,"4410/17-11/2, 12/6-12/7, 12/10-12/24, 12/27-12/27, 1/5-1/5, 2/2-2/5, 3/25-3/25, 3/28-3/30","$1,242,956"
115,Kelly Olynyk,PF,MIA,Shoulder,6,202/7-2/26,"$1,198,560"
116,Carmelo Anthony,PF,OKC,"Back, Ankle",3,"811/12-11/14, 2/8-2/12","$1,186,160"
117,Garrett Temple,SG,SAC,"Ankle, Back",13,"261/28-1/29, 2/26-2/28, 3/22-4/11","$1,175,148"
118,Trevor Ariza,SF,HOU,"Foot, Hamstring, Rest",12,"2810/25-10/27, 1/30-2/22, 4/11-4/11","$1,173,928"
119,Al-Farouq Aminu,PF,POR,Ankle,13,2811/2-11/29,"$1,157,800"
120,Danny Green,SF,SAS,Groin,9,"2012/9-12/11, 12/18-12/19, 12/21-12/25, 1/3-1/12","$1,129,940"
121,John Henson,PF,MIL,"Eye, Hamstring",5,"1911/22-11/24, 2/6-2/8, 2/10-2/22","$1,118,796"
122,Ben Simmons,PG,PHI,Elbow,1,3211/25-12/26,"$1,115,264"
123,Glenn Robinson III,SF,IND,Ankle,58,12810/18-2/22,"$1,102,336"
124,Wilson Chandler,SF,DEN,"Back, Illness, Migraine, Hip, Nose",8,"1611/20-11/21, 11/28-12/3, 1/29-1/30, 1/30-1/31, 3/9-3/10, 4/1-4/2","$1,086,272"
125,Derrick Rose,PG,CLE,"Ankle, Personal",42,"9110/21-10/28, 11/9-11/23, 11/24-12/7, 12/8-1/17, 3/23-4/4","$1,082,991"
126,Tyreke Evans,SG,MEM,"Hip, Illness, Arm, Ribs, Undisclosed, Personal",29,"5812/13-12/14, 1/24-1/28, 1/31-2/10, 2/24-3/14, 3/19-3/21, 3/24-4/11","$1,078,104"
