PLAYER,TEAM,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed,Avg Speed Off,Avg Speed Def
Aaron Gordon,DEN,75,46,29,31.7,11717,2.22,1.18,1.04,4,4.19,3.81
Aaron Henry,PHI,6,6,0,2.8,1203.2,0.23,0.12,0.11,4.39,4.23,3.91
Aaron Holiday,PHX,63,34,29,16.2,6371.2,1.21,0.64,0.57,4.28,4.48,4.09
Aaron Nesmith,BOS,52,32,20,11,4439.1,0.84,0.44,0.4,4.34,4.58,4.12
Aaron Wiggins,OKC,50,13,37,24.2,10189.7,1.93,1.01,0.92,4.59,4.96,4.24
Abdel Nader,PHX,14,11,3,10.4,4351.3,0.82,0.42,0.4,4.45,4.63,4.27
Ade Murkey,SAC,1,0,1,1.5,410,0.08,0.04,0.04,3.84,0,0
Admiral Schofield,ORL,38,10,28,12.3,5012.9,0.95,0.51,0.44,4.32,4.56,4.08
Ahmad Caver,IND,1,0,1,0.8,346,0.07,0.03,0.04,5.36,0,0
Al Horford,BOS,68,46,22,29,10608.1,2.01,1.08,0.93,3.95,4.24,3.67
Alec Burks,NYK,80,36,44,28.5,10871.5,2.06,1.08,0.97,4.05,4.19,3.9
Aleem Ford,ORL,5,2,3,14.7,5962.2,1.13,0.59,0.53,4.29,4.58,4.14
Aleksej Pokusevski,OKC,61,19,42,20.2,8127.1,1.54,0.86,0.68,4.36,4.91,3.82
Alex Caruso,CHI,41,24,17,28,11205,2.12,1.12,1,4.23,4.53,3.94
Alex Len,SAC,39,17,22,15.9,6101,1.16,0.6,0.55,4.11,4.47,3.78
Alfonzo McKinnie,CHI,17,8,9,12.1,4953.5,0.94,0.49,0.45,4.34,4.57,4.12
Alize Johnson,NOP,23,14,9,7.3,2964.2,0.56,0.29,0.27,4.29,4.47,4.1
Alperen Sengun,HOU,72,18,54,20.7,7622.4,1.44,0.75,0.7,3.9,3.94,3.86
Amir Coffey,LAC,68,33,35,22.6,8570.3,1.62,0.85,0.77,4.01,4.17,3.85
Andre Drummond,BKN,73,42,31,19.7,7109.6,1.35,0.69,0.65,3.91,3.98,3.84
Andre Iguodala,GSW,30,20,10,19.4,7300.4,1.38,0.73,0.65,3.99,4.27,3.71
Andrew Wiggins,GSW,72,47,25,31.9,12167.5,2.3,1.22,1.08,4.06,4.4,3.74
Anfernee Simons,POR,57,25,32,29.5,11715.7,2.22,1.21,1.01,4.21,4.54,3.88
Anthony Davis,LAL,40,17,23,35.1,12273.6,2.32,1.19,1.13,3.73,3.85,3.61
Anthony Edwards,MIN,72,39,33,34.3,12588.3,2.38,1.28,1.11,3.95,4.27,3.63
Anthony Gill,WAS,44,15,29,10.5,4312.8,0.82,0.44,0.37,4.3,4.64,3.98
Anthony Lamb,HOU,2,0,2,3.8,1862.5,0.35,0.19,0.16,5,5.83,4.2
Armoni Brooks,TOR,54,20,34,15.6,6394.8,1.21,0.67,0.54,4.36,4.75,3.96
Arnoldas Kulboka,CHA,2,2,0,2.6,1120.5,0.21,0.12,0.09,4.15,4.13,4.18
Austin Reaves,LAL,61,28,33,23.2,9434.8,1.79,0.94,0.85,4.3,4.48,4.12
Austin Rivers,DEN,67,41,26,22.1,8282.3,1.57,0.82,0.75,4.04,4.16,3.92
Avery Bradley,LAL,62,27,35,22.7,9039.8,1.71,0.87,0.84,4.26,4.33,4.2
Ayo Dosunmu,CHI,77,42,35,27.4,10688.9,2.02,1.05,0.98,4.22,4.38,4.06
BJ Johnson,ORL,4,2,2,16.1,6593.5,1.25,0.69,0.56,4.38,4.74,4
Bam Adebayo,MIA,56,36,20,32.6,12445.1,2.36,1.27,1.09,4.05,4.4,3.72
Ben McLemore,POR,64,20,44,20.1,8251.2,1.56,0.84,0.72,4.33,4.64,4.02
Bismack Biyombo,PHX,35,29,6,14.1,5460.4,1.03,0.55,0.49,4.11,4.31,3.89
Blake Griffin,BKN,56,29,27,17.1,6106.6,1.16,0.61,0.55,3.83,4,3.66
Boban Marjanović,DAL,23,15,8,5.6,2067.3,0.39,0.2,0.19,3.96,4.05,3.88
Bobby Portis,MIL,72,46,26,28.2,11116.7,2.11,1.08,1.02,4.22,4.57,3.91
Bogdan Bogdanović,ATL,63,33,30,29.3,11379.4,2.16,1.18,0.97,4.2,4.65,3.75
Bojan Bogdanović,UTA,69,45,24,30.9,11935.9,2.26,1.21,1.05,4.1,4.39,3.81
Bol Bol,ORL,14,5,9,5.8,2088.4,0.4,0.21,0.18,4.15,4.46,3.99
Bones Hyland,DEN,69,41,28,19,7503.9,1.42,0.79,0.63,4.24,4.66,3.82
Brad Wanamaker,WAS,23,10,13,13.9,5436.1,1.03,0.56,0.47,4.14,4.55,3.73
Bradley Beal,WAS,40,17,23,36,13980.1,2.65,1.49,1.16,4.13,4.51,3.74
Brandon Boston,LAC,50,26,24,14.8,5824.9,1.1,0.57,0.53,4.17,4.39,3.95
Brandon Clarke,MEM,63,43,20,19.4,8003.8,1.52,0.8,0.71,4.41,4.72,4.11
Brandon Goodwin,CLE,36,19,17,13.9,5723.8,1.08,0.6,0.48,4.34,4.68,3.98
Brandon Ingram,NOP,54,28,26,34,12567.3,2.38,1.34,1.04,3.94,4.41,3.46
Brandon Knight,DAL,5,2,3,12.9,5233.2,0.99,0.57,0.42,4.3,4.82,3.6
Brandon Williams,POR,24,2,22,26.6,10944,2.07,1.13,0.94,4.35,4.75,3.94
Braxton Key,DET,11,5,6,17.9,7424.6,1.41,0.74,0.66,4.39,4.72,4.06
Brodric Thomas,BOS,12,8,4,5,1904.7,0.36,0.19,0.17,4.33,4.55,4.3
Brook Lopez,MIL,13,10,3,22.9,8629.8,1.63,0.86,0.77,4.04,4.33,3.76
Bruce Brown,BKN,72,37,35,24.6,9729.1,1.84,0.98,0.87,4.27,4.54,4
Bruno Fernando,HOU,30,15,15,5.1,1983,0.38,0.21,0.17,4.06,4.33,3.77
Bryn Forbes,DEN,75,36,39,17.1,6845.3,1.3,0.72,0.57,4.29,4.77,3.81
Buddy Hield,IND,80,25,55,30.9,12685.4,2.4,1.29,1.11,4.36,4.75,3.99
CJ Elleby,POR,58,17,41,20.3,8269.3,1.57,0.83,0.74,4.33,4.6,4.08
CJ McCollum,NOP,62,28,34,34.6,13610.5,2.58,1.43,1.14,4.19,4.68,3.71
CJ Miles,BOS,1,1,0,1.9,738,0.14,0.08,0.06,2.65,4.66,6.16
Cade Cunningham,DET,63,20,43,32.6,13149.1,2.49,1.4,1.09,4.28,4.83,3.73
Caleb Martin,MIA,60,37,23,22.9,9860.6,1.87,0.98,0.89,4.56,4.81,4.32
Cam Reddish,NYK,49,20,29,20.7,8339.9,1.58,0.83,0.75,4.27,4.47,4.08
Cam Thomas,BKN,67,32,35,17.6,6740.3,1.28,0.69,0.59,4.17,4.5,3.84
Cameron Johnson,PHX,65,49,16,26.1,10277.8,1.95,1.06,0.88,4.25,4.75,3.79
Cameron McGriff,POR,3,0,3,15.3,6475.3,1.23,0.66,0.57,4.41,4.8,4.04
Cameron Oliver,ATL,2,1,1,21.6,8589,1.63,0.86,0.76,4.26,4.58,3.71
Cameron Payne,PHX,57,45,12,22.1,8752.6,1.66,0.91,0.75,4.2,4.7,3.73
Caris LeVert,CLE,58,23,35,30.7,11923.9,2.26,1.25,1,4.13,4.57,3.68
Carlik Jones,DEN,5,3,2,4.7,1888,0.36,0.19,0.17,4.26,4.4,4.13
Carmelo Anthony,LAL,69,27,42,26,9217.5,1.75,0.91,0.84,3.75,3.91,3.58
Carsen Edwards,DET,4,1,3,19.8,7432.3,1.41,0.75,0.65,3.99,4.29,3.69
Cassius Stanley,DET,9,3,6,17.2,7323.2,1.39,0.74,0.65,4.47,4.67,4.2
Cassius Winston,WAS,7,1,6,5.6,1959.9,0.37,0.22,0.15,4.39,5.06,3.73
Cat Barber,ATL,3,0,3,4.3,1761.7,0.33,0.17,0.16,4.26,4.47,4.06
Cedi Osman,CLE,66,37,29,22.1,8672.6,1.64,0.89,0.75,4.14,4.34,3.93
Chandler Hutchison,PHX,6,4,2,3.7,1438,0.27,0.16,0.11,4.35,4.76,3.93
Charles Bassey,PHI,23,11,12,7.3,2862.7,0.54,0.29,0.25,4.17,4.36,3.97
Charlie Brown Jr.,PHI,22,16,6,8.1,3650,0.69,0.36,0.33,4.81,4.92,4.68
Chaundee Brown Jr.,ATL,5,1,4,20.7,8101.6,1.53,0.78,0.76,4.21,4.59,3.87
Cheick Diallo,DET,3,0,3,10.2,4335.7,0.82,0.44,0.38,4.53,4.53,4.15
Chimezie Metu,SAC,59,22,37,21.6,8408.2,1.59,0.85,0.74,4.14,4.54,3.75
Chris Boucher,TOR,80,48,32,21.1,8382.8,1.59,0.84,0.75,4.2,4.39,4.01
Chris Chiozza,GSW,33,21,12,11.2,4454.2,0.84,0.46,0.39,4.22,4.56,3.87
Chris Duarte,IND,55,21,34,28,11776.1,2.23,1.2,1.03,4.48,4.8,4.14
Chris Paul,PHX,64,52,12,32.9,11239.7,2.13,1.17,0.96,3.65,4.11,3.21
Chris Silva,MIA,10,7,3,9.1,3780.7,0.72,0.38,0.33,4.37,4.47,4.14
Christian Wood,HOU,68,19,49,30.8,11281.1,2.14,1.15,0.99,3.89,4.12,3.66
Chuma Okeke,ORL,70,21,49,25,10059.6,1.91,1.02,0.88,4.29,4.61,3.97
Clint Capela,ATL,74,40,34,27.6,10197,1.93,1.01,0.92,4,4.22,3.79
Coby White,CHI,61,32,29,27.5,10418.4,1.97,1.05,0.92,4.07,4.3,3.83
Cody Martin,CHA,70,41,29,26.4,11130.3,2.11,1.13,0.98,4.48,4.86,4.11
Cody Zeller,POR,27,13,14,13.1,5490.6,1.04,0.56,0.48,4.41,4.72,4.09
Cole Anthony,ORL,65,18,47,31.7,12833.2,2.43,1.36,1.08,4.32,4.85,3.8
Collin Sexton,CLE,11,7,4,28.8,10676.3,2.02,1.13,0.89,4.04,4.35,3.74
Corey Kispert,WAS,77,31,46,23.4,9748.9,1.85,1.03,0.82,4.44,4.88,3.99
Cory Joseph,DET,65,19,46,24.6,10285.7,1.95,1.05,0.89,4.43,4.76,4.1
