Rank,Player,Pos,Team,Reason,GamesMissed,DaysMissed,Cash TotalPer Days Missed
1,Joel Embiid,C,PHI,"Knee, Injury Management, Face, Foot",39,"8710/23-11/4, 11/13-12/7, 12/16-12/22, 1/1-1/1, 1/6-2/2, 2/5-2/5, 2/12-2/12, 2/24-3/6","$25,707,978"
2,Kawhi Leonard,SF,LAC,"Knee, Personal, Injury Management, Foot",41,"8010/23-1/3, 1/8-1/8, 1/16-1/16, 1/22-1/22, 2/13-2/13, 2/23-2/24, 3/5-3/5","$22,623,360"
3,Brandon Ingram,SF,NOP,"Calf, Ankle",44,"9611/25-12/4, 12/12-2/7, 2/9-3/8","$19,871,040"
4,Immanuel Quickley,PG,TOR,"Pelvis, Elbow, Hip, Injury Management, Rest",39,"8610/23-11/8, 11/12-12/31, 1/13-1/29, 2/5-2/5, 3/8-3/8","$16,063,252"
5,Giannis Antetokounmpo,PF,MIL,"Adductor, Knee, Back, Illness, Calf",12,"5111/4-11/6, 11/26-11/26, 12/21-12/18, 12/26-1/28, 2/3-2/3, 2/5-2/12","$14,299,839"
6,Luka Doncic,PG,DAL,"Knee, Wrist, Heel, Calf, Injury Management",31,"5511/17-11/17, 11/22-11/22, 11/24-11/30, 12/19-12/22, 12/27-1/31, 2/4-2/8, 2/20-2/20","$13,602,050"
7,Zion Williamson,PF,NOP,"Hamstring, Illness",29,"6311/3-11/5, 11/8-1/5, 1/31-1/31","$13,297,221"
8,Bojan Bogdanovic,SF,BKN,Foot,54,11310/23-2/12,"$12,360,392"
9,Mitchell Robinson,C,NYK,Ankle,58,12810/22-2/26,"$10,532,864"
10,Paul George,SG,PHI,"Knee, Injury Management, Groin, Ankle, Finger",21,"3610/23-11/3, 11/13-11/13, 11/22-11/29, 12/4-12/4, 1/8-1/8, 1/14-1/14, 1/18-1/19, 1/28-2/4, 3/3-3/3, 3/6-3/6","$10,180,512"
11,Dejounte Murray,PG,NOP,"Hand, Elbow, Achilles",34,"7110/24-11/26, 1/25-1/25, 2/1-3/8","$10,119,346"
12,Kyle Kuzma,PF,WAS,"Groin, Ribs",17,"7110/30-12/10, 11/30-12/28","$9,598,348"
13,Malcolm Brogdon,PG,WAS,"Thumb, Hamstring, Foot, Ankle",38,"7410/24-11/15, 12/7-12/18, 1/7-1/30, 2/7-2/7, 2/21-2/26, 3/1-3/8","$9,568,940"
14,Khris Middleton,SF,MIL,"Ankle, Injury Management, Rest, Personal",30,"5310/23-12/4, 1/6-1/6, 1/14-1/14, 1/23-1/23, 2/3-2/3, 2/7-2/7, 2/8-2/8, 2/10-2/12, 2/23-2/23","$9,442,533"
15,Bruce Brown Jr.,SG,TOR,"Knee, Injury Management, Personal",34,"7010/23-12/28, 1/1-1/1, 1/9-1/9, 2/10-2/10","$9,252,880"
16,Kristaps Porzingis,PF,BOS,"Foot, Leg, Ankle, Injury Management, Illness",31,"5510/22-11/24, 12/2-12/3, 12/6-12/6, 12/27-1/2, 1/18-1/18, 1/22-1/22, 2/8-2/8, 2/28-2/28, 3/2-3/8","$9,251,495"
17,Bradley Beal,SG,PHX,"Elbow, Calf, Knee, Ankle, Toe",17,"3210/26-10/27, 10/31-11/1, 11/13-11/24, 11/30-12/2, 12/13-12/13, 1/16-1/18, 1/22-1/22, 2/7-2/12, 2/27-2/28","$9,232,896"
18,Deandre Ayton,C,POR,"Finger, Illness, Calf, Back, Knee, Leg",24,"4711/12-11/26, 12/13-12/13, 12/15-12/15, 1/11-1/11, 1/18-1/18, 1/23-1/26, 2/12-3/7","$9,185,304"
19,De'Anthony Melton,SG,GSW,"Back, Knee Acl",54,"12410/29-11/7, 11/15-12/15, 12/16-3/8","$9,137,560"
20,Andrew Wiggins,SF,GSW,"Back, Personal, Illness, Ankle",11,"5810/29-12/14, 1/9-1/10, 2/13-2/13, 2/28-3/7","$8,758,928"
21,Anthony Davis,C,LAL,"Foot, Ankle, Abdominal, Adductor",18,"3511/6-11/6, 1/2-1/2, 1/17-1/17, 1/30-2/1, 2/4-2/6, 2/10-3/7","$8,693,580"
22,Ja Morant,PG,MEM,"Thigh, Hip, Knee, Back, Shoulder, Foot, Illness",24,"4110/28-10/29, 11/8-11/24, 11/27-11/27, 12/8-12/8, 12/21-12/21, 12/29-1/6, 1/17-1/17, 1/24-1/24, 1/30-2/2, 2/12-2/12, 3/1-3/3","$8,653,747"
23,Matisse Thybulle,SG,POR,"Knee, Ankle",64,"13610/23-1/8, 1/9-3/7","$8,617,232"
24,LaMelo Ball,PG,CHA,"Calf, Injury Management, Ankle, Wrist",23,"4211/29-12/15, 12/20-12/20, 12/28-1/3, 1/24-1/24, 1/29-2/5, 2/9-2/12, 2/20-2/20, 2/25-2/25, 2/27-2/27, 3/8-3/8","$8,483,748"
25,Fred VanVleet,PG,HOU,"Hamstring, Knee, Personal, Ankle",18,"3411/11-11/12, 12/8-12/8, 1/16-1/16, 2/3-2/26, 3/3-3/8","$8,372,330"
26,P.J. Tucker,PF,LAC,Personal,59,"12410/23-1/31, 2/3-2/5, 2/7-2/26","$8,223,184"
27,Grant Williams,PF,CHA,Knee Acl,49,10511/24-3/8,"$7,860,090"
