Rank,Player,Pos,Team,Reason,GamesMissed,DaysMissed,Cash TotalPer Days Missed
1,John Wall,PG,WAS,Achilles,64,14110/23-3/11,"$30,429,774"
2,Kevin Durant,SF,BKN,Achilles,64,14110/23-3/11,"$29,633,124"
3,Stephen Curry,PG,GSW,"Hand, Illness",60,"13010/31-3/4, 3/7-3/11","$29,548,740"
4,Klay Thompson,SG,GSW,Knee Acl,65,14110/23-3/11,"$26,082,603"
5,Blake Griffin,C,DET,"Knee, Hamstring",47,"9810/23-11/10, 11/12-11/14, 12/17-12/17, 12/20-12/22, 12/30-3/11","$18,954,964"
6,Kyrie Irving,PG,BKN,"Shoulder, Hamstring, Personal, Knee",44,"9811/16-1/11, 1/20-1/22, 1/26-1/26, 2/3-2/19, 2/20-3/11","$17,574,634"
7,Otto Porter Jr.,SF,CHI,Foot,51,11411/9-3/1,"$17,551,212"
8,Victor Oladipo,SG,IND,"Knee, Rest, Back, Ankle",52,"11210/23-1/28, 2/8-2/8, 2/23-2/26, 3/2-3/3, 3/4-3/11","$13,288,128"
9,Andre Iguodala,SF,MEM,Personal,50,10610/23-2/5,"$10,291,646"
10,Mike Conley,PG,UTA,"Hamstring, Rest, Illness",23,"5512/4-12/16, 12/19-1/17, 1/30-1/30, 2/10-2/10, 2/12-2/20, 2/21-2/21","$10,102,455"
11,Jusuf Nurkic,C,POR,Leg,66,14110/23-3/11,"$9,559,377"
12,Marc Gasol,C,TOR,"Hamstring, Rest",28,"6512/20-1/14, 1/30-3/7, 3/9-3/9","$9,399,520"
13,Reggie Jackson,PG,DET,"Back, Rest",43,"8910/26-1/21, 1/25-1/25","$9,094,554"
14,Karl-Anthony Towns,C,MIN,"Knee, Wrist",27,"5812/18-1/16, 2/12-3/11","$8,940,874"
15,Justise Winslow,SF,MIA,"Back, Concussion",53,"11910/31-11/4, 11/7-11/26, 12/6-1/7, 1/10-2/5, 2/6-3/11","$8,740,074"
16,Paul George,SG,LAC,"Shoulder, Hamstring",22,"4610/22-11/13, 1/4-1/4, 1/10-1/29, 2/22-2/23","$8,577,712"
17,Andre Roberson,SG,OKC,Knee,64,14110/23-3/11,"$8,556,162"
18,Chandler Parsons,SF,ATL,"Knee, Illness, Concussion, Upper Body",28,"6010/24-11/16, 12/4-12/10, 12/17-12/26, 1/17-1/19, 1/21-2/5","$8,509,320"
19,Gordon Hayward,SF,BOS,"Hand, Toe, Foot, Knee",19,"4111/11-12/8, 12/18-12/24, 2/7-2/8, 3/4-3/7","$7,574,750"
20,Paul Millsap,PF,DEN,"Quad, Knee, Ankle",21,"4012/14-12/17, 12/28-12/30, 1/8-2/7, 3/1-3/2","$6,779,680"
21,Evan Turner,SF,ATL,"Achilles, Hamstring",28,"6310/29-11/15, 12/21-12/26, 12/30-2/2, 2/5-2/8","$6,622,686"
22,Joel Embiid,C,PHI,"Ankle, Knee, Hip, Illness, Hand, Shoulder",19,"4210/26-10/27, 11/13-11/14, 12/7-12/7, 12/15-12/17, 12/31-1/2, 1/9-1/27, 2/27-3/10","$6,526,506"
23,Nicolas Batum,SF,CHA,"Finger, Hand, Illness",19,"4510/25-11/15, 12/11-12/20, 2/8-2/20","$6,499,620"
24,Myles Turner,C,IND,"Ankle, Illness",10,"6011/1-11/15, 1/26-3/11","$5,932,200"
25,D'Angelo Russell,PG,GSW,"Ankle, Thumb, Shoulder, Quad, Rest",20,"3811/2-11/7, 11/17-12/3, 12/31-1/11, 2/3-2/4, 2/23-2/23","$5,857,814"
26,Darius Miller,SF,NOP,Achilles,63,14210/22-3/11,"$5,816,320"
27,C.J. Miles,SF,WAS,"Foot, Wrist",28,"11710/23-11/3, 11/27-3/11","$5,770,791"
28,Eric Gordon,SG,HOU,"Hamstring, Knee, Shin",30,"6911/6-11/8, 11/13-12/28, 1/9-1/10, 2/9-2/21, 2/26-2/28, 3/7-3/9","$5,480,118"
