PLAYER,TEAM,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed,Avg Speed Off,Avg Speed Def
Aaron Gordon,ORL,76,38,38,33.8,13508.3,2.56,1.44,1.12,4.28,4.75,3.79
Aaron Holiday,IND,50,31,19,12.9,5337.1,1.01,0.52,0.49,4.35,4.58,4.12
Abdel Nader,OKC,60,37,23,11.4,4879.3,0.92,0.47,0.45,4.47,4.7,4.27
Al Horford,BOS,68,41,27,29,10788.7,2.04,1.08,0.96,3.98,4.35,3.64
Al-Farouq Aminu,POR,81,52,29,28.3,11306.2,2.14,1.18,0.96,4.25,4.55,3.93
Alan Williams,BKN,5,1,4,5.1,2001.4,0.38,0.2,0.18,4.14,4.63,3.71
Alec Burks,SAC,64,19,45,21.5,8499.8,1.61,0.87,0.74,4.22,4.39,4.05
Alex Abrines,OKC,31,21,10,19,7908.3,1.5,0.78,0.72,4.38,4.75,4.04
Alex Caruso,LAL,25,8,17,21.3,8538.5,1.62,0.86,0.76,4.23,4.61,3.89
Alex Len,ATL,77,28,49,20.1,8008.6,1.52,0.81,0.71,4.23,4.59,3.88
Alex Poythress,ATL,21,7,14,14.5,6207.9,1.18,0.63,0.55,4.51,5.02,4.05
Alfonzo McKinnie,GSW,72,53,19,13.9,6062.5,1.15,0.61,0.54,4.68,5.1,4.28
Alize Johnson,IND,14,9,5,4.6,2010.3,0.38,0.2,0.18,4.41,4.57,4.26
Allen Crabbe,BKN,43,19,24,26.4,10576,2,1.1,0.9,4.24,4.6,3.88
Allonzo Trier,NYK,63,13,50,22.8,9013.4,1.71,0.95,0.76,4.17,4.51,3.82
Amile Jefferson,ORL,12,9,3,5.7,2400.8,0.45,0.24,0.21,4.47,4.63,4.3
Amir Johnson,PHI,51,32,19,10.4,4055.8,0.77,0.4,0.36,4.16,4.45,3.89
Andre Drummond,DET,79,40,39,33.5,12292.9,2.33,1.23,1.1,3.94,3.99,3.88
Andre Iguodala,GSW,68,47,21,23.2,8986.8,1.7,0.88,0.82,4.1,4.46,3.77
