Rank,Player,Pos,Team,Reason,GamesMissed,DaysMissed,Cash TotalPer Days Missed
1,Klay Thompson,SG,GSW,Achilles,72,14512/22-5/16,"$28,968,390"
2,Kevin Love,C,CLE,"Calf, Heel",47,"9912/23-12/25, 12/29-3/11, 3/16-3/31, 5/7-5/8, 5/10-5/11, 5/14-5/16","$21,195,702"
3,Kevin Durant,SF,BKN,"Rest, Health Protocols, Achilles, Hamstring, Thigh",36,"7112/28-12/28, 1/5-1/9, 1/22-1/22, 1/29-1/29, 2/6-2/12, 2/15-4/6, 4/14-4/14, 4/20-4/24","$18,994,417"
4,Otto Porter Jr.,SF,CHI,"Back, Rest, Foot",42,"901/10-1/14, 1/18-1/21, 1/23-1/23, 2/3-3/10, 4/3-5/16","$17,561,880"
5,Anthony Davis,C,LAL,"Calf, Thigh, Quad, Achilles",36,"7612/27-12/27, 1/8-1/9, 1/28-1/29, 2/8-2/11, 2/16-4/21, 5/12-5/14","$17,043,760"
6,LeBron James,PF,LAL,Ankle,27,"613/3-3/11, 3/21-4/29, 5/3-5/14","$16,386,247"
7,John Wall,PG,HOU,"Knee, Achilles, Hamstring",30,"541/14-1/22, 2/3-2/8, 3/11-3/18, 3/31-4/6, 4/9-4/9, 4/18-4/18, 4/24-4/26, 4/27-5/16","$15,258,672"
8,Al Horford,C,OKC,"Rest, Personal",44,"7412/29-12/29, 1/13-1/13, 1/15-1/26, 2/6-2/6, 2/17-2/17, 2/22-2/22, 2/26-2/26, 3/4-3/4, 3/14-3/14, 3/16-3/16, 3/21-3/21, 3/22-3/22, 3/27-5/16","$13,938,344"
9,James Harden,SG,HOU,"Ankle, Thigh, Neck, Hamstring",24,"461/2-1/3, 1/31-2/1, 3/24-3/25, 4/1-4/4, 4/7-5/11, 5/16-5/16","$12,998,128"
10,D'Angelo Russell,PG,MIN,"Rest, Quad, Leg",30,"601/23-1/23, 1/25-1/28, 2/6-2/7, 2/10-4/4","$11,773,680"
11,Kemba Walker,PG,BOS,"Knee, Rest, Illness, Oblique, Back",28,"5312/23-1/16, 1/25-1/25, 2/12-2/12, 2/17-2/17, 2/24-2/24, 3/17-3/17, 3/22-3/23, 3/27-3/27, 4/7-4/8, 4/19-4/21, 4/23-4/24, 4/27-5/4, 5/12-5/16","$11,449,044"
12,C.J. McCollum,SG,POR,Foot,25,561/18-3/15,"$11,259,136"
13,T.J. Warren,SF,IND,Foot,68,13612/31-5/16,"$10,945,144"
14,Spencer Dinwiddie,PG,BKN,Knee Acl,69,13912/28-5/16,"$10,904,828"
15,Markelle Fultz,PG,ORL,Knee Acl,64,1291/7-5/16,"$10,857,801"
16,Gordon Hayward,SF,CHA,"Hip, Back, Hand, Foot",28,"541/14-1/15, 2/14-2/19, 2/28-3/2, 4/4-5/16","$10,541,070"
17,Kristaps Porzingis,PF,DAL,"Knee, Back, Rest, Wrist, Ankle",29,"5512/23-1/12, 1/23-1/24, 1/30-1/31, 2/22-2/26, 3/11-3/11, 3/27-3/28, 4/3-4/4, 4/5-4/6, 4/12-4/13, 4/24-4/28, 5/1-5/11","$10,358,541"
18,Eric Gordon,SG,HOU,"Leg, Rest, Groin, Knee",41,"801/14-1/17, 2/8-2/8, 2/15-2/16, 3/1-3/10, 3/12-3/26, 3/29-5/16","$9,243,440"
19,Kyrie Irving,PG,BKN,"Rest, Personal, Health Protocols, Finger, Back, Shoulder, Groin, Face",20,"4012/28-12/28, 1/7-1/14, 1/15-1/19, 2/6-2/8, 2/16-2/17, 2/27-2/28, 3/17-3/18, 3/23-3/28, 4/13-4/19, 4/29-4/29, 5/12-5/14","$9,131,280"
20,Andre Drummond,C,CLE,"Achilles, Back, Rest, Personal, Toe",23,"531/12-1/14, 2/1-2/2, 2/14-2/14, 2/15-3/26, 4/2-4/7, 4/15-4/16","$8,988,978"
21,Gary Harris,SG,DEN,"Personal, Groin, Thigh",31,"681/12-1/16, 2/4-2/16, 2/19-3/25, 3/28-4/5, 4/7-4/13","$8,924,184"
22,Victor Oladipo,SG,IND,"Rest, Knee, Quad, Foot, Personal",34,"6212/27-12/27, 1/12-1/13, 1/14-1/14, 1/23-1/25, 2/4-2/4, 2/9-2/10, 2/13-2/23, 2/28-2/28, 3/12-3/13, 3/17-3/17, 3/24-3/24, 4/11-5/16","$8,917,832"
23,Karl-Anthony Towns,C,MIN,"Wrist, Covid 19, Personal",22,"4412/27-1/8, 1/10-1/12, 1/15-2/9, 4/13-4/13, 4/14-4/14","$8,880,696"
24,Joel Embiid,C,PHI,"Back, Knee, Health Protocols, Shoulder",21,"4212/27-12/28, 1/9-1/10, 1/16-1/19, 1/25-1/26, 1/31-2/2, 2/15-2/16, 3/11-3/11, 3/14-4/2, 4/4-4/5, 4/24-4/25, 5/11-5/12, 5/16-5/16","$8,498,406"
25,Kawhi Leonard,SF,LAC,"Face, Health Protocols, Leg, Back, Foot, Rest",20,"3612/27-12/29, 1/26-1/28, 2/14-2/20, 3/2-3/3, 3/25-3/26, 4/11-4/11, 4/13-4/17, 4/20-4/30, 5/14-5/14, 5/16-5/16","$8,477,028"
26,Dante Exum,PG,CLE,"Hip, Calf",68,"13212/23-12/25, 1/6-1/14, 1/16-5/16","$8,227,428"
27,Mike Conley,PG,UTA,"Hamstring, Rest",21,"342/7-2/18, 2/27-2/27, 3/18-3/18, 3/27-3/27, 4/3-4/3, 4/12-4/12, 4/17-4/17, 4/28-5/13","$8,034,744"
