Rank,Player,Pos,Team,Reason,GamesMissed,DaysMissed,Cash TotalPer Days Missed
1,Chris Bosh,PF,MIA,Illness,82,16910/26-4/12,"$23,601,357"
2,Nikola Pekovic,C,MIN,Achilles,82,16910/26-4/12,"$12,028,744"
3,Ian Mahinmi,C,WAS,"Knee, Calf",51,"10310/27-11/25, 11/28-2/7, 4/12-4/12","$9,660,267"
4,Khris Middleton,SF,MIL,Hamstring,50,10510/26-2/7,"$9,388,260"
5,Jerryd Bayless,PG,PHI,Wrist,79,"16210/26-11/20, 11/27-4/12","$8,980,632"
6,Rudy Gay,PF,SAC,"Ribs, Hip, Achilles",52,"10411/5-11/5, 12/14-12/25, 12/28-1/5, 1/20-4/12","$8,156,824"
7,Chandler Parsons,SF,MEM,"Knee, Rest",42,"6010/26-11/5, 11/19-12/2, 1/4-1/5, 1/25-1/26, 3/13-4/12","$7,805,940"
8,Tiago Splitter,PF,PHI,"Hamstring, Calf",73,"15310/27-2/24, 2/24-3/2, 3/4-3/27, 3/29-3/30","$7,694,982"
9,Festus Ezeli,C,POR,Knee,82,16910/26-4/12,"$7,356,401"
10,Dirk Nowitzki,PF,DAL,"Illness, Achilles",26,"5010/28-11/1, 11/6-11/22, 11/27-12/22, 12/29-12/29, 4/4-4/4","$7,352,950"
11,Jeremy Lin,PG,BKN,"Hamstring, Back, Ankle",45,"10011/4-12/11, 12/14-12/15, 12/28-2/23, 3/21-3/22","$6,754,900"
12,J.R. Smith,SG,CLE,"Ankle, Knee, Thumb",41,"8611/13-11/17, 12/7-12/9, 12/21-3/8","$6,475,284"
13,Joakim Noah,C,NYK,"Illness, Ankle, Hamstring, Knee",28,"6411/20-11/24, 11/30-12/3, 1/18-1/20, 2/6-2/27, 2/27-3/29","$6,400,000"
14,Kevin Durant,SF,GSW,"Hand, Knee",20,"382/25-2/26, 3/2-4/7","$5,932,484"
15,Ben Simmons,PG,PHI,Foot,82,16910/26-4/12,"$5,868,356"
16,Chris Paul,PG,LAC,"Hamstring, Thumb",18,"4312/30-1/5, 1/19-2/23","$5,784,489"
17,Kevin Love,C,CLE,"Knee, Illness, Back",19,"4112/20-12/22, 1/4-1/5, 1/19-1/20, 1/30-2/3, 2/14-3/15","$5,104,664"
18,Kenneth Faried,PF,DEN,"Back, Personal, Ankle",22,"711/2-1/6, 2/6-1/6, 2/10-2/22, 2/26-3/15, 4/9-4/12","$5,044,621"
19,Reggie Jackson,PG,DET,Knee,30,"5610/26-12/3, 3/27-4/12","$4,926,880"
20,Alec Burks,SG,UTA,"Knee, Ankle, Personal",36,"7710/25-11/1, 11/1-1/1, 1/3-1/4, 3/27-3/23","$4,599,364"
