PLAYER,TEAM,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed,Avg Speed Off,Avg Speed Def
Aaron Brooks,MIN,32,19,13,5.9,2241.8,0.42,0.23,0.2,4.32,4.46,4.17
Aaron Gordon,ORL,58,19,39,32.9,12792,2.42,1.35,1.07,4.46,5.05,3.88
Aaron Harrison,DAL,9,2,7,25.9,9738.8,1.84,1,0.84,4.29,4.52,4.04
Aaron Jackson,HOU,1,0,1,34.5,12530,2.37,1.22,1.15,3.94,4.14,3.77
Abdel Nader,BOS,47,32,15,11.1,4381.9,0.83,0.44,0.39,4.5,4.61,4.39
Adreian Payne,ORL,5,0,5,8.5,3115.2,0.59,0.3,0.29,4.24,4.53,3.72
Al Horford,BOS,69,44,25,31.5,11152.8,2.11,1.13,0.99,4.03,4.3,3.76
Al Jefferson,IND,36,17,19,13.4,4732.9,0.9,0.48,0.41,4.02,4.12,3.89
Al-Farouq Aminu,POR,69,40,29,30,11168.4,2.12,1.14,0.98,4.22,4.46,3.98
Alan Williams,PHX,5,1,4,14.1,5076.2,0.96,0.52,0.44,4.1,4.3,3.9
Alec Burks,UTA,64,37,27,16.5,6187,1.17,0.62,0.55,4.27,4.43,4.11
Alec Peters,PHX,20,2,18,11.2,4426.6,0.84,0.47,0.37,4.5,5.15,3.88
Alex Abrines,OKC,73,42,31,15.1,5785.4,1.1,0.55,0.54,4.35,4.48,4.24
Alex Caruso,LAL,37,16,21,15.2,6016.7,1.14,0.59,0.55,4.51,4.95,4.11
Alex Len,PHX,69,20,49,20.2,7450.3,1.41,0.76,0.65,4.2,4.52,3.88
Alex Poythress,IND,25,10,15,4.2,1631.7,0.31,0.16,0.14,4.45,4.61,4.28
Alfonzo McKinnie,TOR,14,13,1,3.8,1568.4,0.3,0.15,0.15,4.73,4.87,4.6
Allen Crabbe,BKN,73,24,49,29.2,11028.5,2.09,1.13,0.96,4.3,4.57,4.02
Amir Johnson,PHI,74,47,27,15.8,5818.1,1.1,0.56,0.54,4.19,4.42,3.98
Andre Drummond,DET,78,37,41,33.6,11952.5,2.26,1.15,1.12,4.06,4.12,4.01
Andre Iguodala,GSW,64,46,18,25.4,9484.8,1.8,0.94,0.86,4.27,4.64,3.92
Andre Ingram,LAL,2,1,1,32.1,12495.5,2.37,1.27,1.1,4.4,5,3.87
Andre Roberson,OKC,37,24,13,26.6,10624.6,2.01,0.97,1.04,4.56,4.61,4.51
Andrew Bogut,LAL,24,7,17,9,3127.9,0.59,0.31,0.28,3.95,4.13,3.76
Andrew Harrison,MEM,56,17,39,23.7,8787.9,1.66,0.91,0.76,4.24,4.45,4.01
Andrew White III,ATL,15,1,14,13.9,5424,1.03,0.56,0.47,4.57,4.88,4.25
Andrew Wiggins,MIN,82,47,35,36.3,12807.1,2.43,1.28,1.14,4.01,4.09,3.92
Ante Zizic,CLE,32,21,11,6.7,2540.9,0.48,0.26,0.22,4.31,4.43,4.18
Anthony Brown,MIN,1,0,1,3.7,1342,0.25,0.11,0.14,4.8,4.57,2.47
Anthony Davis,NOP,75,45,30,36.4,12633.8,2.39,1.24,1.15,3.96,4.31,3.64
Anthony Tolliver,DET,79,37,42,22.2,8857.7,1.68,0.95,0.73,4.55,5.18,3.92
Antonio Blakeney,CHI,19,3,16,16.5,6443.4,1.22,0.62,0.6,4.49,4.95,4.09
Antonius Cleveland,ATL,17,7,10,7.2,2789,0.53,0.28,0.25,4.41,4.5,4.22
Aron Baynes,BOS,78,51,27,18.4,6630.8,1.26,0.65,0.61,4.11,4.22,4
Arron Afflalo,ORL,53,16,37,12.9,4732,0.9,0.47,0.42,4.2,4.37,4.03
Austin Rivers,LAC,61,30,31,33.7,12692.3,2.4,1.31,1.09,4.28,4.6,3.95
Avery Bradley,LAC,46,22,24,31.1,12267.7,2.32,1.22,1.11,4.5,4.69,4.31
Bam Adebayo,MIA,68,33,35,19.8,7179.4,1.36,0.71,0.65,4.12,4.17,4.06
Ben McLemore,MEM,56,7,49,19.5,7865.2,1.49,0.8,0.69,4.64,4.97,4.32
Ben Moore,IND,2,1,1,4.6,2011.5,0.38,0.2,0.18,5.18,4.58,5.99
Ben Simmons,PHI,80,51,29,33.8,13386.2,2.54,1.38,1.15,4.51,5.12,3.94
Bismack Biyombo,ORL,82,25,57,18.2,6687.4,1.27,0.67,0.6,4.2,4.41,3.99
Blake Griffin,DET,58,28,30,34,11369.7,2.15,1.16,1,3.83,4.08,3.57
Boban Marjanović,LAC,39,18,21,8.7,3170.4,0.6,0.31,0.29,4.17,4.43,3.92
Bobby Brown,HOU,20,17,3,5.8,2039.1,0.39,0.22,0.17,4.03,4.4,3.72
Bobby Portis,CHI,73,25,48,22.5,8656,1.64,0.85,0.79,4.39,4.82,4
Bogdan Bogdanović,SAC,78,26,52,27.9,10793,2.04,1.12,0.92,4.42,4.79,4.05
Bojan Bogdanović,IND,80,47,33,30.8,11496.7,2.18,1.13,1.05,4.26,4.5,4.03
Bradley Beal,WAS,82,43,39,36.3,13262.6,2.51,1.34,1.17,4.17,4.43,3.91
Brandan Wright,HOU,28,11,17,13.6,4891.4,0.93,0.49,0.43,4.09,4.34,3.84
Brandon Ingram,LAL,59,27,32,33.5,12976.8,2.46,1.32,1.13,4.41,4.91,3.95
Brandon Jennings,MIL,14,8,6,14.7,5719.6,1.08,0.58,0.51,4.46,4.74,4.18
Brandon Paul,SAS,64,38,26,9,3554.8,0.67,0.37,0.31,4.49,4.9,4.08
Briante Weber,MEM,18,8,10,13.1,5538.2,1.05,0.56,0.49,4.81,5.03,4.53
Brice Johnson,MEM,18,2,16,5.4,1921.1,0.36,0.19,0.17,4.12,4.65,3.75
Brook Lopez,LAL,74,34,40,23.4,8328.1,1.58,0.8,0.77,4.13,4.35,3.92
Bruno Caboclo,SAC,12,4,8,8.9,3564,0.68,0.36,0.31,4.58,4.85,4.31
Bryn Forbes,SAS,80,46,34,19,7371.2,1.4,0.76,0.64,4.43,4.74,4.11
Buddy Hield,SAC,80,27,53,25.3,10309.7,1.95,1.05,0.91,4.66,4.99,4.33
C.J. Williams,LAC,38,17,21,18.6,7345.8,1.39,0.73,0.66,4.49,4.8,4.19
CJ McCollum,POR,81,48,33,36.1,14239.1,2.7,1.52,1.18,4.5,4.95,4.03
CJ Miles,TOR,70,50,20,19.1,6936.3,1.31,0.71,0.6,4.17,4.54,3.79
Caleb Swanigan,POR,27,16,11,7,2647.3,0.5,0.27,0.23,4.3,4.42,4.16
Cameron Payne,CHI,25,7,18,23.3,8798.8,1.67,0.89,0.78,4.36,4.88,3.87
Caris LeVert,BKN,69,24,45,26.1,9947.5,1.88,1.02,0.86,4.34,4.61,4.07
Carmelo Anthony,OKC,76,46,30,32,10604.3,2.01,1.06,0.95,3.77,4.11,3.45
Cedi Osman,CLE,61,35,26,11,4344.1,0.82,0.42,0.4,4.49,4.64,4.33
Chandler Parsons,MEM,36,12,24,19.2,7043.8,1.33,0.73,0.6,4.18,4.53,3.84
Channing Frye,LAL,53,28,25,13.1,4620.5,0.88,0.46,0.41,4,4.36,3.67
Charles Cooke,NOP,13,8,5,2.9,1127.9,0.21,0.12,0.1,4.41,4.58,4.23
Cheick Diallo,NOP,52,29,23,11.2,4313.8,0.82,0.44,0.38,4.53,5.01,4.08
Chinanu Onuaku,HOU,1,0,1,21.6,7463,1.41,0.72,0.7,3.64,3.9,3.41
Chris Boucher,GSW,1,1,0,1.3,445,0.08,0.05,0.03,4.54,6.51,0
Chris McCullough,WAS,19,11,8,4.7,1911.4,0.36,0.2,0.16,4.64,5.12,4.13
Chris Paul,HOU,58,50,8,31.8,10778.5,2.04,1.12,0.92,3.86,4.21,3.51
Clint Capela,HOU,74,62,12,27.5,10204.2,1.93,1.04,0.9,4.23,4.53,3.94
Cody Zeller,CHA,33,14,19,19,7266.4,1.38,0.75,0.63,4.36,4.7,4.04
Cole Aldrich,MIN,21,14,7,2.3,843.6,0.16,0.09,0.07,4.17,4.6,3.72
Corey Brewer,OKC,72,32,40,16.8,6506.6,1.23,0.61,0.62,4.4,4.52,4.29
Cory Joseph,IND,82,48,34,26.9,10947.9,2.07,1.09,0.99,4.64,4.86,4.43
Courtney Lee,NYK,75,26,49,30.4,11557.1,2.19,1.16,1.03,4.33,4.48,4.18
Cristiano Felicio,CHI,55,13,42,17.8,6978.9,1.32,0.68,0.64,4.49,4.77,4.24
D'Angelo Russell,BKN,48,16,32,25.7,9582.8,1.81,0.99,0.82,4.24,4.52,3.95
D.J. Augustin,ORL,75,23,52,23.5,8886.5,1.68,0.94,0.74,4.35,4.74,3.94
D.J. Wilson,MIL,22,12,10,3.2,1243,0.24,0.12,0.11,4.4,4.49,4.13
Dakari Johnson,OKC,30,21,9,4.9,1760,0.33,0.17,0.16,4.09,4.28,3.91
Damian Jones,GSW,15,7,8,5.9,2237,0.42,0.22,0.2,4.35,4.4,4.15
Damian Lillard,POR,73,44,29,36.6,13335.6,2.53,1.42,1.11,4.16,4.52,3.77
Damien Wilkins,IND,19,10,9,8,2915.9,0.55,0.29,0.26,4.15,4.2,4.01
Damion Lee,ATL,15,4,11,27,11203.4,2.12,1.15,0.97,4.72,4.99,4.43
Damyean Dotson,NYK,44,11,33,10.8,4349.5,0.82,0.44,0.38,4.59,4.99,4.24
Daniel Hamilton,OKC,6,5,1,4.6,1762.3,0.33,0.19,0.15,4.31,4.53,4.08
Daniel Theis,BOS,60,41,19,14.9,5605.1,1.06,0.56,0.5,4.29,4.45,4.12
Danilo Gallinari,LAC,21,11,10,32,11787.7,2.23,1.22,1.01,4.21,4.58,3.84
Danny Green,SAS,70,40,30,25.6,10367.4,1.96,1.1,0.87,4.62,4.93,4.28
Dante Cunningham,BKN,73,34,39,21.4,8727,1.65,0.9,0.76,4.64,5.04,4.24
Danté Exum,UTA,14,10,4,16.8,6885.2,1.3,0.69,0.61,4.7,5.24,4.21
Danuel House Jr.,PHX,23,6,17,17.5,7002.9,1.33,0.73,0.59,4.56,5,4.11
Dario Šarić,PHI,77,49,28,29.6,11508.3,2.18,1.17,1.01,4.43,4.88,4
Darius Miller,NOP,82,48,34,23.7,8378.9,1.59,0.84,0.75,4.05,4.41,3.71
Darrell Arthur,DEN,19,12,7,7.4,2691.5,0.51,0.27,0.23,4.2,4.42,3.96
Darren Collison,IND,69,39,30,29.3,10985,2.08,1.09,0.99,4.29,4.53,4.07
Darrun Hilliard,SAS,14,8,6,6.8,2582.6,0.49,0.27,0.22,4.3,4.8,3.92
