Rank,Player,Pos,Team,Reason,GamesMissed,DaysMissed,Cash TotalPer Days Missed
1,Chandler Parsons,SF,MEM,Knee,56,"12310/24-2/22, 4/10-4/10","$16,752,477"
2,Kevin Love,C,CLE,"Foot, Rest, Back, Shoulder",60,"12210/25-2/7, 2/9-2/10, 2/13-2/13, 3/2-3/2, 3/12-3/12, 3/18-3/19, 3/30-4/6, 4/10-4/10","$16,624,452"
3,Timofey Mozgov,C,ORL,Knee,80,17310/20-4/10,"$15,638,335"
4,J.R. Smith,SG,CLE,"Elbow, Personal",69,"14510/17-10/18, 10/21-10/23, 11/21-4/10","$12,058,780"
5,John Wall,PG,WAS,"Personal, Heel, Illness, Achilles",50,"10912/5-12/7, 12/10-12/11, 12/22-12/22, 12/28-2/6, 2/7-4/10","$11,805,136"
6,Victor Oladipo,SG,IND,Knee,46,"9711/19-12/11, 1/26-4/10","$11,508,468"
7,LeBron James,PF,LAL,"Groin, Rest",27,"5212/27-1/30, 2/2-2/2, 3/15-3/15, 3/19-3/21, 3/27-3/27, 3/31-4/10","$10,474,672"
8,Goran Dragic,PG,MIA,"Toe, Knee, Calf",45,"10311/3-11/4, 11/7-11/9, 11/18-12/6, 12/12-2/22, 3/2-3/7","$10,361,760"
9,Andre Roberson,SG,OKC,Knee,82,17710/16-4/10,"$9,999,969"
10,Chris Paul,PG,HOU,"Hamstring, Rest",21,"4311/26-11/29, 12/22-1/26, 2/2-2/3, 3/15-3/15","$8,661,748"
11,Jeff Teague,PG,MIN,"Knee, Ankle, Foot",40,"8010/31-11/11, 12/17-1/3, 1/22-2/7, 2/25-2/27, 3/12-4/10","$8,587,600"
12,Allen Crabbe,SG,BKN,"Ankle, Knee",39,"8210/17-10/18, 12/14-2/5, 3/16-4/10","$8,570,640"
13,John Henson,PF,MIL,Wrist,67,"14511/16-12/6, 12/7-4/10","$8,460,315"
14,Tristan Thompson,C,CLE,"Foot, Rest",38,"8312/12-1/1, 1/18-3/19, 4/4-4/4, 4/9-4/9","$8,191,934"
15,Miles Plumlee,C,ATL,Knee,53,"11312/12-12/28, 1/4-4/10","$7,980,173"
