PLAYER,TEAM,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed,Avg Speed Off,Avg Speed Def
Aaron Gordon,DEN,50,29,21,27.7,10476.6,1.98,1.1,0.89,4.06,4.4,3.71
Aaron Holiday,IND,66,30,36,17.8,7271.3,1.38,0.71,0.66,4.32,4.7,3.98
Aaron Nesmith,BOS,46,22,24,14.5,5977.7,1.13,0.59,0.54,4.34,4.53,4.15
Abdel Nader,PHX,24,16,8,14.8,6038,1.14,0.62,0.53,4.41,4.75,4.1
Adam Mokoka,CHI,14,3,11,4,1597.6,0.3,0.15,0.15,4.13,4.48,3.99
Al Horford,BOS,28,11,17,27.9,10105,1.91,1.06,0.85,3.89,4.2,3.57
Al-Farouq Aminu,CHI,23,5,18,18.9,7510.7,1.42,0.79,0.64,4.34,4.76,3.91
Alec Burks,NYK,49,27,22,25.6,9750.9,1.85,0.98,0.87,4.09,4.23,3.95
Aleksej Pokusevski,OKC,45,13,32,24.2,9638.8,1.83,1.01,0.81,4.36,4.87,3.86
Alen Smailagic,GSW,15,10,5,5.6,2271.2,0.43,0.23,0.2,4.32,4.38,4.12
Alex Caruso,LAL,58,32,26,21,8550,1.62,0.86,0.76,4.29,4.51,4.08
Alex Len,WAS,64,30,34,15.3,6114.8,1.16,0.61,0.55,4.31,4.71,3.94
Alfonzo McKinnie,LAL,39,22,17,6.6,2735.8,0.52,0.27,0.25,4.45,4.51,4.39
Alize Johnson,BKN,18,10,8,10.5,4488.3,0.85,0.46,0.39,4.57,4.9,4.24
Amida Brimah,IND,5,2,3,5.9,2436.4,0.46,0.24,0.22,4.35,5.09,3.76
Amir Coffey,LAC,44,32,12,9,3418.9,0.65,0.35,0.3,4.01,4.13,3.88
Anderson Varejao,CLE,5,1,4,7.2,2900,0.55,0.3,0.25,4.19,4.44,4.23
Andre Drummond,LAL,46,19,27,27,9821.8,1.86,0.96,0.9,3.89,3.98,3.79
Andre Iguodala,MIA,63,37,26,21.3,8312.4,1.57,0.83,0.74,4.13,4.41,3.85
Andre Roberson,BKN,5,4,1,12.6,5244.2,0.99,0.52,0.47,4.53,4.89,4.19
Andrew Wiggins,GSW,71,38,33,33.3,12883.9,2.44,1.28,1.16,4.17,4.56,3.81
Anfernee Simons,POR,64,37,27,17.3,6958.4,1.32,0.72,0.59,4.33,4.57,4.08
Anthony Davis,LAL,36,23,13,32.3,11145.1,2.11,1.08,1.03,3.67,3.75,3.61
Anthony Edwards,MIN,72,23,49,32.1,12179.4,2.31,1.25,1.05,4.04,4.37,3.7
Anthony Gill,WAS,26,11,15,8.4,3430.7,0.65,0.35,0.3,4.39,4.94,3.88
Anthony Lamb,HOU,24,3,21,17.3,7096.7,1.34,0.73,0.61,4.39,4.79,3.99
Anthony Tolliver,PHI,11,7,4,9,3553.8,0.67,0.36,0.31,4.14,4.51,3.77
Anžejs Pasečņiks,WAS,1,1,0,6.3,2586,0.49,0.31,0.18,4.44,4.3,4.68
Armoni Brooks,HOU,20,3,17,26,10223.9,1.94,1.06,0.88,4.2,4.64,3.76
Aron Baynes,TOR,53,20,33,18.5,7014,1.33,0.69,0.64,4.05,4.23,3.87
Ashton Hagans,MIN,2,0,2,2,954.5,0.18,0.08,0.1,5.27,5.36,5.19
Austin Rivers,DEN,36,20,16,23.5,8936.6,1.69,0.91,0.79,4.04,4.2,3.87
Avery Bradley,HOU,27,6,21,22.3,8971.9,1.7,0.87,0.83,4.27,4.44,4.11
Axel Toupane,MIL,8,2,6,7.7,3396,0.64,0.32,0.32,4.55,5.2,4.18
Bam Adebayo,MIA,64,34,30,33.5,12582.9,2.38,1.24,1.14,4,4.23,3.78
Ben McLemore,LAL,53,20,33,17.1,7054.6,1.34,0.7,0.63,4.47,4.68,4.25
Ben Simmons,PHI,58,42,16,32.4,12471,2.36,1.27,1.09,4.12,4.47,3.77
Bismack Biyombo,CHA,66,28,38,20.4,7829.4,1.48,0.78,0.7,4.11,4.38,3.84
Blake Griffin,BKN,46,24,22,25.8,8733.4,1.65,0.91,0.74,3.69,3.94,3.42
Boban Marjanović,DAL,33,14,19,8.2,3070.6,0.58,0.3,0.28,3.98,4.15,3.81
Bobby Portis,MIL,66,44,22,20.8,8222.2,1.56,0.82,0.73,4.21,4.55,3.89
Bogdan Bogdanović,ATL,44,30,14,29.7,11851.8,2.24,1.25,0.99,4.27,4.66,3.86
Bojan Bogdanović,UTA,72,52,20,30.8,11941.4,2.26,1.23,1.03,4.17,4.52,3.82
Bol Bol,DEN,32,21,11,5,1945.2,0.37,0.2,0.17,4.29,4.33,4.23
Brad Wanamaker,CHA,61,29,32,17.3,6700.8,1.27,0.69,0.58,4.17,4.61,3.75
Bradley Beal,WAS,60,32,28,35.8,13816.7,2.62,1.39,1.23,4.18,4.59,3.8
Brandon Clarke,MEM,59,32,27,24,9670,1.83,0.97,0.86,4.37,4.7,4.05
Brandon Goodwin,ATL,47,25,22,13.2,5252.1,0.99,0.54,0.45,4.28,4.52,4.03
